EAN/GTIN,Repetidos,Codigo,Fabricante,Descrição dos Produtos
7892183053972,1,19671,PARAFUSOS,PARAFUSO FRANCES ZINC 3/16X1.1/2 C/15PCS
7892183054061,1,22116,PARAFUSO,PARAF FRANC 1/4X1�C/10
7892183054122,1,13484,PARAFUSO,PARAF FRANC 1/4X2.1/2 C10 PC
7892183054191,1,13488,PARAFUSO,PARAF FRANC 5/16X1 C/10 ZINC
7892183054238,1,13840,PARAFUSO,PARAF FRANC 5/16X2.1/2 C/10 ZINC
7892183055150,1,13505,PARAFUSOS,PARAF SEXT ZINC 1/4X1 C/15
7892183055587,1,18785,PARAFUSO,"PARAF C/BUCHA 8 4,8X45 C/20 UNI"
7892183057857,1,19638,PARAFUSOS,PARAF MAD CAB CHAT PHILL 3.8 X 45 C/25
7892183057888,1,13588,PARAFUSOS,PARAF A.AT CB PAN 5.5X16 C/20
7892183058762,1,13550,PARAFUSO,PARAF SEXT 5/16X80 C/4
7892183060222,1,19640,PARAFUSOS,PARAF MAD CAB CHAT PHILL 3.8 X 40 C/25
7892183062110,1,6983,JOMARCA,CHAVE INGLESA 8
7892183062189,1,20691,JOMARCA,ALICATE PRESS�O CURVO 10
7892183062271,1,20017,JOMARCA,ALICATE DE BICO JOMARCA
7892183062301,1,20019,JOMARCA,ALICATE CORTE JOMARCA
7892183062318,1,6982,JOMARCA,CHAVE INGLESA 6
7892183062394,1,10069,JOMARCA,ALICATE BOMBA D�AGUA JOMARCA
7892183063124,1,6978,JOMARCA,CHAVE INGLESA 10
7892183063148,1,6941,JOMARCA,CHAVE INGLESA 12
7892183066248,1,13509,PARAFUSO,PARAF SEXT 5/16X2 C/8
7892183066682,1,19651,PARAFUSO,PARAF CB CHAT PHIL MAD 4.8X45 C/10
7892183067184,1,18779,PARAFUSO,PARAF SEXT 3/8X1 C/5 ZINC
7892183069676,1,13784,PARAFUSOS,REBITE 308
7892183069690,1,13786,PARAFUSOS,REBITE 312
7892183070818,1,13560,PARAFUSOS,PARAF P/CAMA (FENDA) 1/4X90 C/4
7892183071006,1,13787,PARAFUSOS,REBITE 314
7892183072324,1,13487,PARAFUSOS,PARAF FRANC ZINC 1/4X5 C/10
7892183073567,1,13641,PARAFUSOS,PARAFUSO MAQ CB REDONDA 1/4X1 C/15
7892183075059,1,13520,PARAFUSOS,PARAF SEXT ZINC 3/16X1.1/2 C/15
7892183080879,1,14953,PARAFUSO,PARAF SEXT 1/4X3.1/2 C/5PCS ZINC
7892183081456,1,13562,PARAFUSOS,PARAF P/CAMA (FENDA) 1/4X120 C/4
7892183084679,1,13503,PARAFUSOS,PARAF SEXT ZINC 3/16X1 C/15
7892183086666,1,13519,PARAFUSOS,PARAF SEXT ZINC 3/16X2 C/15
7892183087380,1,19644,PARAFUSOS,PARAF MAD PHIL 4.8X25 C/20
7892183087458,1,13535,PARAFUSOS,PARAFUSO SEXTAVADO MADEIRA 3/16X50 C/4PC
7892183090946,1,13563,PARAFUSOS,PARAF P/CAMA (FENDA) 1/4X130 C/4
7892183094616,1,6930,JOMARCA,CHAVE FENDA TOCO PHS 3/16
7892183116127,1,13510,PARAFUSO,PARAF SEXT 5/16X3 C/8 ZIMC
7892183116141,1,13511,PARAFUSOS,PARAFUSO SEXTAVADO ZINC 5/16X4 C/8PCS
7892183116158,1,13522,PARAFUSOS,PARAF SEXT ZINC 3/8X3 C/5
7892183121824,1,11352,PARAFUSOS,PARAFUSO MAQ CB CHATA 1/4X1.1/2 C/15
7892183122074,1,19898,JOMARCA,PARAF MAQUINA CB CHATA 1/4X3 C/10
7892183122098,1,13627,PARAFUSO,PARAF MAQ CB CHATA 1/4X3/4 C/15
7892183124702,1,13287,JOMARCA,TRENA EMBORR JOMARCA 3MT 16MM
7892183124719,1,13288,JOMARCA,TRENA EMBORR JOMARCA 5MT 19MM
7892183124726,1,13289,JOMARCA,TRENA EMBORRACHADA 7.5MMX25MM
7892183181088,1,6476,PARAFUSO,CHUMBADOR 5/16X75 C/PRISION C/2
7892183181828,1,15066,JOMARCA,CHAVE FENDA RETA 3/16X3
7892183181835,1,6980,JOMARCA,CHAVE FENDA RETA 3/16X4
7892183191711,1,22403,JOMARCA,CHAVE FENDA PHS 1/8X3
7892183191728,1,6949,JOMARCA,CHAVE FENDA PHS 1/8X4
7892183191742,1,6901,JOMARCA,CHAVE FENDA PHS 1/8X6
7892183191759,1,6911,JOMARCA,CHAVE FENDA PHS 1/8X8
7892183191766,1,6909,JOMARCA,CHAVE FENDA PHS 3/16X3
7892183191773,1,6910,JOMARCA,CHAVE FENDA PHS 3/16X4
7892183191780,1,6991,JOMARCA,CHAVE FENDA PHS 3/16X5
7892183191797,1,6934,JOMARCA,CHAVE FENDA PHS 3/16X6
7892183191803,1,6933,JOMARCA,CHAVE FENDA PHS 3/16X8
7892183191810,1,6932,JOMARCA,CHAVE FENDA PHS 3/16X10
7892183191827,1,21800,JOMARCA,CHAVE FENDA PHS 1/4X4
7892183191834,1,16024,JOMARCA,CHAVE FENDA PHS 1/4X5
7892183191841,1,6947,JOMARCA,CHAVE FENDA PHS 1/4X6
7892183191858,1,6926,JOMARCA,CHAVE FENDA PHS 1/4X8
7892183191865,1,6927,JOMARCA,CHAVE FENDA PHS 1/4X10
7892183191872,1,3224,JOMARCA,CHAVE FENDA PHS 5/16X6
7892183191889,1,6928,JOMARCA,CHAVE FENDA PHS 5/16X8
7892183206545,1,13727,PARAFUSOS,PARAF P/TELHA 5/16X110MM C/6
7892183209669,1,13725,PARAFUSOS,PARAF P/TELHA 5/16X65MM C/6
7892183209966,1,2888,PARAFUSO,PORCA BORBOLETA 1/4 C/10
7892183213086,1,11302,RACUIA/TERUYA,ROLO ARAME GALVANIZ N20 1KG GERDAU
7892183213093,1,10556,RACUIA/TERUYA,ROLO ARAME GALVANIZ N22 1KG GERDAU
7892183219668,1,9633,JOMARCA,"ARCO SERRA REGULAVEL 12"""
7892183219675,1,11480,JOMARCA,APLICADOR DE SILICONE
7892183219859,1,6906,JOMARCA,ARCO DE SERRA FIXO 12
7892183219989,1,5820,JOMARCA,MACACO HIDRAULICO 2T JACARE
7892183220688,1,13736,PARAFUSO,ESCAPULA 17X50 LAT P/MADEIRA C/20P
7892183220701,1,13738,PARAFUSO,ESCAPULA 21X70 LAT P/MADEIRA C/10P
7892183220732,1,13741,PARAFUSO,GANCHO 16X30 LAT P/MADEIRA C/20
7892183220756,1,13743,PARAFUSO,GANCHO 17X50 LAT P/MADEIRA C/10
7892183220879,1,13754,PARAFUSOS,PITAO LANT P/MAD 19 X 50 C/10
7892183220886,1,13755,PARAFUSOS,PITAO LATONADO 21X80 C/10
7892183222453,1,13957,RACUIA/TERUYA,ROLO ARAME RECOZIDO N18 1KG
7892183264477,1,13797,PARAFUSO,ARRUELA LISA 5/16
7892183264514,1,13556,PARAFUSOS,PARAF P/CAMA CB FUR 5/16X110 C/4
7892183264620,1,13558,PARAFUSOS,PARAF P/CAMA CB FUR 5/16X130 C/4
7892183264668,1,13555,PARAFUSOS,PARAFUSO P/CAMA CB FURADA 5/16X100 C/4
7892183264774,1,13802,PARAFUSO,ARRUELA LISA 1/8
7892183270300,1,13472,PARAFUSO,PARAF MAD 5.5X50MM C/10 ZINC
7892183271352,1,13546,PARAFUSOS,PARAFUSO SEXTAVADO MADEIRA 5/16X90 C/4PC
7892183271369,1,13548,PARAFUSO,PARAF SEXT 5/16X75 C/4PC MADEIRA
7892183272427,1,14486,PARAFUSOS,PARAF BICRO CB CHAT PHI 3.5X25 C/20
7892183272496,1,3401,PARAFUSO,"PARAF CB CHAT 3,5X20 BICRO C/20"
7892183273226,1,13482,PARAFUSO,PARAF FRANC 1/4X1.1/2 C/10 ZINC
7892183289807,1,16256,PARAFUSOS,PARAFUSO AUTO BROCANTE 4.8X32 C/10
7892183294016,1,13547,PARAFUSO,PARAF SEXT 5/16X110 C/4P MADEIRA
7892183297499,1,16282,PARAFUSOS,"PARAFUSO A.AT CB CHATA 6,1X25 C/20"
7892183397335,1,13816,PARAFUSOS,REBITE 525
7892183397373,1,13818,PARAFUSOS,REBITE 535
7892183402640,1,14429,PARAFUSO,CHUMBADOR 1/4X2 C/PARAFUSO ZINC
7892183402657,1,14743,PARAFUSO,CHUMBADOR 5/16X2.1/4 ZINCADO C/PARAFUSO
7892183402688,1,14744,PARAFUSO,CHUMBADOR 3/8X3.1/2 CBA C/PARAFUSO
7892183418153,1,13730,PARAFUSOS,PARAF P/TELHA 5/16X150MM C/6
7892183425212,1,19832,PARAFUSOS,PARAFUSO A.AT CB PANELA PHI 3.9X25 C/30
7892183540366,1,6943,JOMARCA,BROCA P/DOBRADI�A 26MM
7892183540373,1,6942,JOMARCA,BROCA P/DOBRADI�A 35MM
7892183564164,1,13887,JOMARCA,MARTELO DE BORRACHA 40MM
7892183593676,1,13375,JOMARCA,CHAVE FENDA PHS 1/8X5
7892183602743,1,20428,PARAFUSO,PARAF P/TELHA 1/4X110MM C/6
7892183603238,1,13576,PARAFUSO,"PARAF A.AT CB PAN 3,5X25 C/30"
7892183604167,1,13682,PARAFUSOS,PARAF BICRO CB PAN PHI 3.0X12 C/20
7892183604204,1,14476,PARAFUSOS,PARAF BICRO CB PAN PHI 3.0X30 C/20
7892183604228,1,14477,PARAFUSOS,PARAF BICRO CB PAN PHI 3.5X16 C/20
7892183604303,1,18867,PARAFUSO,"PARAF CB PAN PHI 4,0X16 BICRO C/20"
7892183604341,1,14481,PARAFUSOS,PARAF BICRO CB PAN PHI 4.0X30 C/20PCS
7892183604365,1,14482,PARAFUSOS,PARAF BICRO CB PAN PHI 4.0X40 C/20
7892183605461,1,19643,PARAFUSOS,PARAF MAD CB CHAT PHILL 4.5X45 C/25
7892183605904,1,15977,JOMARCA,"ALICATE UNIVERSAL PROF 8"" CB EMBORRACHAD"
7892183606161,1,13793,PARAFUSOS,REBITE 410
7892183609933,1,16334,PARAFUSO,PARAF SEXT 3/16X1.1/4 15PC ZINC
7892183697862,1,20527,RACUIA/TERUYA,PORCA TORN ZINC 3/4 PCT C/5P�S
7892183697886,1,13513,PARAFUSO,PARAF SEXT 1/4X1.1/2 C/15 ZINC
7892183702542,1,14478,PARAFUSO,PARAF BICRO CB PAN PHI 3.5X30 C/20
7892183702931,1,13794,PARAFUSO,ARRUELA LISA 5/32
7892183805663,1,13508,PARAFUSO,PARAF SEXT 5/16X1 C/8 ZINC
7892190000143,1,14611,INTERNEED,CONECTOR PORCELANA GRANDE 2 POLOS 16MM
7892190000334,2,1436,INTERNEED,EXTENSAO MONOFONE BRANCA ESPIRAL 2.0MTS
7892190000334,2,436,INTERNEED,EXTENSAO MONOFONE PRETA ESPIRAL 2.0MT
7892190000396,1,431,INTERNEED,INDICADOR DE TENSAO VOLT TEST
7892190005711,1,386,INTERNEED,EXTENSAO LISA 5MTS PLUG/PLUG PR
7892190005728,1,385,INTERNEED,EXTENSAO LISA 5MTS PLUG/PLUG BR
7892190012009,1,421,INTERNEED,CHAVE DE TESTE PEQUENA 140MM
7892190013716,1,6069,INTERNEED,PATCH CORDAO 5 MTS RJ/RJ
7892190019619,1,428,INTERNEED,PENDENTE DE ARAME P/CARRO C/GARRA
7892190020295,1,429,INTERNEED,PENDENTE ARAME C/PINO
7892190020660,1,12119,INTERNEED,PACTH CORD 10M SEQ LOGICA RJ/RJ 568B
7892190023531,1,400,INTERNEED,GARRA JACARE PEQUENA PRETA
7892190030126,1,394,INTERNEED,CONECTOR DE LOUCA 16MM GRANDE 3 POLOS
7892190036098,1,7646,INTERNEED,CABO HDMI 1.8 HIMI
7892190037804,1,14613,INTERNEED,ADAPTADOR UNIV 10A CZ
7892190037835,1,14612,INTERNEED,ADAPTADOR UNIV 10A PT
7892190037866,1,412,INTERNEED,ADAPTADOR UNIV 10A BR
7892190042303,1,14968,INTERNEED,CABO HDMI 3MTS
7892190042334,1,7647,INTERNEED,CABO HDMI 5 MTS HIMI
7892190066446,1,14616,INTERNEED,TOMADA EM BARRA TRIPLA PRETA 068099
7892190066477,1,14618,INTERNEED,TOMADA EM BARRA TRIPLA BRANCA 068150
7892190066507,1,14615,INTERNEED,TOMADA EM BARRA TRIPLA CINZA 068129
7892190066538,1,14620,INTERNEED,TOMADA EM BARRA QUADRUPLA PRETA 017059
7892190066569,1,14619,INTERNEED,TOMADA EM BARRA QUADRUPLA BRANCA
7892190066590,1,14617,INTERNEED,TOMADA EM BARRA QUADRUPLA CINZA 011507
7892190066620,1,14379,INTERNEED,TOMADA BARRA HERCULES QUINT 20A PRETA
7892190066651,1,14383,INTERNEED,TOMADA BARRA HERCULES QUINT 20A BRANCO
7892190066682,1,14367,INTERNEED,TOMADA BARRA HERCULES QUINT 20A CZ
7892190067856,1,7645,INTERNEED,TARTARUGA PP ELETRONICA 25W BRANCO
7892190067870,1,6860,INTERNEED,TARTARUGA PP ELETRONICA 25W PRETO
7892190068945,1,14614,INTERNEED,TOMADA EM BARRA DUPLA PRETA
7892190068976,1,12122,INTERNEED,TOMADA EM BARRA DUPLA BRANCA
7892190069003,1,12121,INTERNEED,TOMADA EM BARRA DUPLA CINZA
7892327008820,1,19207,RACUIA/TERUYA,FECHA INOX ESTREIT AL3001 SOPRANO
7892327013428,1,2903,RODIZIO,RODIZIO GEL BASE GIR 35MM C/TRAVA
7892327013435,1,2904,RODIZIO,RODIZIO GEL BASE GIR 50MM C/TRAVA
7892327013466,1,9469,RACUIA/TERUYA,RODIZIO GEL 35MM S/FREIO TRANSP FGD008
7892327013473,1,9468,RACUIA/TERUYA,RODIZIO GEL 50MM S/FREIO FGD002
7892327013480,1,14390,RACUIA/TERUYA,RODIZIO GEL BASE GIR 75MM S/TRAVA
7892327040479,1,14463,RACUIA/TERUYA,MOLA AEREA SOPRANO OURO
7892327040493,1,14464,SOPRANO,MOLA AEREA SOPRANO PRATA
7892327072869,1,19208,RACUIA/TERUYA,FECHADURA P/VITRINE 160/32MM SOPRANO
7892327521961,1,17497,SOPRANO,DISJ TRIP SHB3 32 AMP
7892444427665,1,19779,TERUYA,DISCO TELS.INOX/FERRO 41/2X7/8
7892878623145,1,12327,TECIDOS E ARMA,RATOEIRA PEQUENA
7893007715083,1,16908,UNICOBA,FERRO S. HK PLUS SC30 P 110V(BLISTER)
7893007715106,1,16909,UNICOBA,FERRO SOLDA POWER SC40 110V(BLISTER)
7893007715557,1,16913,UNICOBA,ALICATE DE CRIMPAGEM HK-300
7893007715977,1,16911,UNICOBA,PISTOLA DE SOLDAR FIRE 100-127V
7893007716110,1,18369,UNICOBA,FERRO DE SOLDA AX180 127V
7893007716257,1,16912,UNICOBA,SUGADOR SOLDA METAL ZD 192
7893007716707,1,16906,UNICOBA,PONTA DE PROVA HK 1
7893007716721,1,16907,UNICOBA,PONTA DE PROVA HK 7
7893007718398,1,16905,UNICOBA,FASIMETRO DIGITAL HFA-690
7893007718404,1,16899,UNICOBA,DETECTOR DE TENSAO HK-VOLT
7893007718671,1,18371,UNICOBA,MULTIMETRO ANALOGICO HM-202A+
7893007718725,1,17564,UNICOBA,MULTIMETRO DIGITAL HM-1001
7893007719906,1,16900,UNICOBA,MULTIMETRO DIGITAL HM2010
7893013000012,1,4753,CASA MODERNA,CORTINA DE BOX ESTAMPADA
7893013000050,1,4754,CASA MODERNA,CORTINA DE PIA
7893013000357,1,4759,CASA MODERNA,CORTINA DE BOX PVC 1.40X2.0
7893013001071,1,4762,CASA MODERNA,JG DE BANHEIRO C/3 PCS
7893013001095,1,4764,VILLE RECICLE,TAPETE P/BANHEIRO
7893013001453,1,15359,CASA MODERNA,CORTINA DE PIA
7893013002474,1,8964,CASA MODERNA,CAPA DE MAQ CON 7.5K BRAST 6.7.8.9K PEQ
7893013002481,1,8965,CASA MODERNA,CAPA MAQ CON FACIL 10K 11K BRAS 10K MD
7893013002498,1,8966,CASA MODERNA,CAPA MAQ ELECT 12K 15K CONT 13 15 16K GD
7893013002504,1,8969,CASA MODERNA,CAPA DE MAQUINA FLAN ELETROLUX 5K
7893013002702,1,8967,CASA MODERNA,CAPA DE MAQ ELET TURBO 10K SANSUG 8.5K 4
7893013011742,1,16762,CASA MODERNA,CORTINA PIA OXFORD
7893013011759,1,16759,CASA MODERNA,CAPA DE BOTIJAO OXFORD
7893013011766,1,16760,CASA MODERNA,CAPA GALAO 20 LTS OXFORD
7893013011810,1,16761,CASA MODERNA,CAPA MICROONDAS
7893013012039,1,16849,CASA MODERNA,SAPATEIRA 8 PARES TNT
7893013013227,1,18131,CASA MODERNA,CORTINA DE BOX PASTILHA PT ILHOS
7893013013241,1,18949,CASA MODERNA,CORTINA DE BOX 3D AZ TIFFANY ILHOES
7893013013258,1,18136,CASA MODERNA,CORTINA BOX PASTILHA TRANSL ILHOS
7893013013319,1,20189,CASA MODERNA,SAPATEIRA DURATRAN 10 PARES
7893013013333,1,18948,CASA MODERNA,"PROTETOR LAVAR ROUPA 0,34 X 0,48"
7893013013708,1,21751,CASA MODERNA,CORTINA BOX C/VISOR S/SILK AZUL
7893013013746,1,18128,CASA MODERNA,PROTETOR DE TOALHA DE MESA 70 X 70
7893013013753,1,18129,CASA MODERNA,PROTETOR DE TOALHA DE MESA 1.40 X 1.40
7893013013760,1,18130,CASA MODERNA,PROTETOR DE TOALHA DE MESA 2.10 X 1.40
7893021058067,1,1797,ORIENTE,CALCO LIMITADOR EMBOLO 45MM
7893021058463,1,1796,ORIENTE,BUCHA GUIA CABECA PINO ORING
7893021058920,1,1766,ORIENTE,REPAR PRIMOR 45MM C/REG AL/BX PRESS
7893021058937,1,1770,ORIENTE,REPARA ATUAL PRIMOR 40MM (0581204)
7893021058944,1,1771,ORIENTE,REPARO ANTIGO 40MM (0581206)
7893223001298,1,5919,METALOSA,RODA C/PENEU C/CAMARA 3
7893223006217,1,5918,METALOSA,CARRINHO CONSTR PC3 C/CAMARA
7893308000017,1,1613,GARDEN,TORN BOIA 1/2 C/BL PLAST
7893308000024,1,1614,GARDEN,TORN BOIA 3/4 C/BL PLAST
7893308000055,1,1615,GARDEN,TORN BOIA 1 C/BL PLAST
7893308000079,1,1616,GARDEN,TORN BOIA 1.1/4 C/BL PLAST
7893308000086,1,1617,GARDEN,TORN BOIA 1.1/2 C/BL PLAST
7893308000093,1,1618,GARDEN,TORNEIRA BOIA 2C/BLPL
7893308000116,1,17248,GARDEN,TORNEIRA BOIA 3/4 NORMAL BL LATAO
7893308000413,1,1612,GARDEN,TORNEIRA BOIA VAZAO TOTAL 3/4
7893308000444,1,1639,GARDEN,TORN BOIA 1 VAZAO TOTAL BL PL
7893308000833,1,1647,GARDEN,EMENDA P/MANGUEIR 1/2 X 1/2
7893308001021,1,15134,GARDEN,ESGUICHO TIPO MIGNON 1/2
7893308001113,1,1624,GARDEN,ESGUICHO REVOLVER CROMADO 3/4 GARDEN
7893308001199,1,1645,GARDEN,ESGUINCHO MAXI 1/2
7893308001205,1,1646,GARDEN,ESGUINCHO MAXI 3/4
7893308001328,1,1619,GARDEN,BICO P/TORNEIR 1/2 X 1/2
7893308001397,1,1622,GARDEN,BICO DE TORN 3/4 X 1/2 METAL
7893308001441,1,1641,GARDEN,PISTOLA DE LIMPEZA LEVE 1/4
7893308001458,1,1642,GARDEN,PISTOLA P/PULVERIZACAO 1/4 LEVE
7893308001618,1,11807,GARDEN,ESPIGAO FIXO NPT 1/2*3/8
7893308002097,1,1636,GARDEN,EMENDA P/MANGUEIR 3/8X3/8 ZAMAC
7893308002202,1,12576,RACUIA/TERUYA,EXTENSAO LATAO CROMADA 1/2 CURTA (043439
7893308002219,1,14844,RACUIA/TERUYA,EXTENSAO LATAO CROMADO 1/2 MEDIO
7893308002226,1,14845,RACUIA/TERUYA,EXTENSAO LATAO CROMADO 1/2 LONGA
7893308002523,1,11808,GARDEN,TORNEIRA BOIA VAZAO TOTAL 1/2 PL
7893308002561,1,3164,GARDEN,TORN BOIA 1.1/2 VAZAO TOTAL BL PL
7893308002585,1,7692,GARDEN,TORN BOIA 2 VAZAO TOTAL BL PL
7893308003001,1,7690,GARDEN,ENGATE RAPIDO 1/2 C/PINO 1/2
7893308003773,1,10411,GARDEN,JUNCAO P/MAQ Y P/FILTRO
7893308003797,1,1626,GARDEN,ESGUICH REVOL PLAST 1/2
7893308003827,1,1637,GARDEN,ESGUIC REVOLV 1/2 PLAST CROM
7893308003841,1,1621,GARDEN,ESGUICH REVOLV 1/2 CROMAD
7893308004022,1,10019,GARDEN,ENGAT RAP AR C/ROSC FEMEA 1/2
7893308004138,1,14792,RACUIA/TERUYA,AUMENTO DE LATAO 1/2 CURTO
7893308004145,1,14793,RACUIA/TERUYA,AUMENTO DE LATAO 1/2 MEDIO
7893308004152,1,14794,RACUIA/TERUYA,AUMENTO DE LATAO 1/2 LONGO
7893308004442,1,10017,GARDEN,TE 1/2 X 1/2 METAL
7893308004992,1,1625,GARDEN,IRRIGADOR GIRAT 1/2 C/SUPORT
7893401090359,1,17491,SOPRANO,DISJ BIP SHB2 40 AMP
7893464100002,1,15742,RACUIA/TERUYA,ALICATE REBITADOR STARFER 400
7893464100033,1,13785,PARAFUSOS,REBITE 310
7893464100217,1,13819,PARAFUSOS,REBITE 540
7893505002487,1,6340,BARICHELLO,FACA CROMADA C/6PCS
7893505002838,1,6328,BARICHELLO,GARFO DE MESA AVULSO PRETO (2010.10)
7893537000079,1,11781,RACUIA/TERUYA,BUCHA P/ELETR 2
7893537000253,1,11772,REDE ELETRICA,BOX RETO 3/4 ALUMINIO
7893537000260,1,11773,REDE ELETRICA,BOX RETO 1 ALUMINIO
7893537001083,1,8593,ABRACADEIRAS,ABRA�ADEIRA S/FIM 1X1 1/2 INCA 14MM 2UND
7893537001090,1,8594,RACUIA/TERUYA,ABRA�AD S/FIM 1.1/2 X 2
7893537001106,1,863,RACUIA/TERUYA,ABRA�ADEIRA S/FIM 5/16X3/8
7893537005920,1,11774,RACUIA/TERUYA,BOX RETO 1.1/4 ALUMINIO
7893537011983,1,13224,RACUIA/TERUYA,ABRA�ADEIRA S/FIM 3/8X1/2 C/2
7893537012003,1,13955,RACUIA/TERUYA,ABRA�ADEIRA S/FIM 5/8X3/4 2UND
7893537012010,1,11299,RACUIA/TERUYA,ABRA�ADEIRA S/FIM 3/4X1 C/2
7893590282085,1,22100,PISA,ENGATE FLEXIVEL TRAN�ADO 40CM F/M
7893590282115,1,3432,PISA,REGISTRO P/MAQUINA DE LAVAR ESFERA
7893590282122,1,1725,PISA,DUCHA HIGIENICA BR 1.20CM HF
7893590282139,1,9080,PISA,TORNEIRA DE ESFERA JD CBO VERMELHO
7893590282320,1,9276,PISA,"ALICATE CORTE DIAGONAL 6"" HF"
7893590282344,1,3395,PISA,FORMAO 3/4 AZUL HF
7893590282351,1,3393,PISA,FORMAO 5/8 AZ HF
7893590282368,1,3398,PISA,FORMAO 1.1/2 AZUL HF
7893590282375,1,3397,PISA,FORMAO 1.1/4 AZUL HF
7893590282399,1,12441,PISA,BITS PHILLIPS 1/4 65MM 2PONTAS HF
7893590282542,1,6333,PISA,RALINHO ACO INOX HF
7893590282665,1,7944,PISA,TRENA 3MTS TRANSPARENTE
7893590282672,1,22083,PISA,TRENA 5 MTS HF TRANSPARENTE
7893590282696,1,22084,PISA,TRENA 7.5 MTS HF TRANSPARENTE
7893590283211,1,15637,PISA,DISCO CORTE METAL 115X1.0X22.2
7893590283990,1,7618,PISA,PRUMO PAREDE 400JR HF
7893590284003,1,13357,PISA,PRUMO PAREDE 500GR HF
7893590284034,1,13907,PISA,TORQUES ARMADOR 8�HF
7893590284041,1,3524,PISA,TORQUES ARMADOR 10 HF
7893590284058,1,10111,PISA,TORQUES ARMADOR 12�HF
7893590284065,1,16115,PISA,"ALICATE BOMBA D�AGUA 10""HF"
7893590284072,1,17966,PISA,ALICATE UNIVERSAL 8�HF PRO
7893590284102,1,9293,PISA,ALIC PRESSAO PROF 10 HF
7893590284256,1,7696,PISA,VALVULA AMERICANA 1 1/2 HF
7893590284393,1,13342,PISA,"PISTOLA DE SILICONE 9"""
7893590285475,1,3354,PISA,CHAVE PHILLIPS 1/4X6 HF
7893590285482,1,3356,PISA,CHAVE PHILLIPS 1/4X8 HF
7893590285543,1,3360,PISA,CHAVE PHILLIPS 3/16X3 HF
7893590286298,1,3817,PISA,FITA DOBRAVEL 2MT AMARELA HF
7893590286335,1,2788,PISA,NIVEL ALUMINIO 12 30CM
7893590286342,1,3469,PISA,NIVEL ALUMINIO 16 C/IMA HF 40CM
7893590286359,1,3471,PISA,"NIVEL ALUMINIO 20"" C/IMA HF 50CM"
7893590286366,1,3472,PISA,NIVEL ALUMINIO 24 C/IMA HF 60CM
7893590286373,1,3467,PISA,"NIVEL ALUMINIO 32""C/IMA HF 80CM"
7893590286403,1,3396,PISA,FORMAO 1 AZUL FMZ001 (50206) HF
7893590286410,1,3392,PISA,FORMAO 1/2 (AZUL) HF
7893590286458,1,3394,PISA,FORMAO 7/8 AZUL HF
7893590286496,1,3293,PISA,ALICATE REBITADOR 9.5� HF
7893590286915,1,9129,PISA,DESENTUPIDO WC HF
7893595621230,1,21466,PISA,ENGATE METAL CROM 60CM HF
7893595624361,1,3343,PISA,CHAVE GRIFA AMERICANA 24
7893595624460,1,3338,PISA,"CHAVE GRIFA AMERICANA 8""HF"
7893858001014,1,5945,STAM,CADEADO 25MM
7893858002066,1,5946,STAM,CADEADO 30MM
7893858003018,2,18962,ART MATIC,SUPORTE INCLINADO P/ANTENA
7893858003018,2,5947,STAM,CADEADO 35MM
7893858004015,2,10580,MALTA,MAQUINA DE PICAR CARNE N10
7893858004015,2,19862,JM COMERCIO,ESCOVA DE CARVAO SERRA MARMORE BOSCH
7893858004053,2,16166,DUFRIO REFRIGERACOES,TUBO POLIETILENO 10MMX3/8 2METROS
7893858004053,2,5948,STAM,CADEADO 45MM
7893858005012,1,5949,STAM,CADEADO SEGREDO 25MM
7893858006057,1,5950,STAM,CADEADO SEGREDO 40MM
7893858010047,1,15704,STAM,CADEADO 25MM LAT HASTE MEDIA
7893858010054,1,15703,STAM,CADEADO 30MM LAT HASTE MEDIA
7893858100144,1,5959,STAM,FECHADURA PORTA DE ACO 201
7893858104173,1,5952,STAM,FECHADURA PORTAO 701/100
7893858108102,1,5954,STAM,FECHADURA INOX (2VOLT) 1001
7893858109130,1,5955,STAM,FECHADURA (3VOLT) 1002
7893858109857,1,5977,STAM,FECHADURA INOX ESP 1004
7893858111089,1,14588,STAM,FECHADURA INOX ESP 1810/10 INTERNA
7893858111911,1,14589,STAM,FECHADURA INOX ESP 1810/11 INTERNA
7893858111973,1,14590,STAM,FECHADURA INOX ESP 1820/11 WC
7893858112307,1,14587,STAM,FECHADURA INOX ESP WC 1820/10
7893858113311,1,11242,STAM,FECHADURA ANTIQUE INTERNA 1810/21
7893858113328,1,14584,STAM,FECHADURA INOX ESP 1810/21
7893858113342,1,14575,STAM,FECHADURA OXIDADA INTERNA 1810/21
7893858113496,1,11244,STAM,FECHADURA ANTIQUE WC ESP 1820/21
7893858113502,1,14583,STAM,FECHADURA INOX ESP 1820/21 WC
7893858113526,1,14576,STAM,FECHADURA OXIDADA WC 1820/21
7893858121774,1,5951,STAM,FECHADURA INOX GAVETA ESP 301
7893858122092,1,5979,STAM,FECHADURA NIQUELADA 302
7893858130738,1,20281,STAM,FECHADURA 312L1 CROMADA CCSD
7893858222563,1,8577,STAM,FECHADURA CROMADA 2001 CIL REDONDO
7893858222624,1,5980,STAM,FECHADURA CROMADA CIL OVAL 2001
7893858311106,1,5973,STAM,CILINDRO 401 C/PARAF (31110)
7893858311311,1,5956,STAM,CILINDRO 501/601
7893858311779,1,20280,STAM,CILINDRO BUZ 601/603/940
7893858318136,1,5974,STAM,FECHADURA INOX ESP INTERNA 813/03
